original_name,formatted_address,latitude,longitude,display_name,class,type
청운동,서울특별시 종로구 청운효자동,37.58895,126.96784,"청운동, 청운효자동, 종로구, 서울특별시, 03047, 대한민국",place,quarter
신교동,서울특별시 종로구 청운효자동,37.58416,126.96723,"신교동, 청운효자동, 종로구, 서울특별시, 03032, 대한민국",place,quarter
궁정동,서울특별시 종로구 청운효자동,37.5843652,126.9724327,"궁정동, 청운효자동, 종로구, 서울특별시, 03032, 대한민국",place,quarter
효자동,경기도 고양시 덕양구,37.661127,126.95699054964274,"효자동, 덕양구, 고양시, 경기도, 대한민국",boundary,administrative
창성동,서울특별시 종로구 청운효자동,37.5808835,126.9725454,"창성동, 청운효자동, 종로구, 서울특별시, 03043, 대한민국",place,quarter
통의동,서울특별시 종로구 사직동,37.5780314,126.9729189080281,"통의동, 사직동, 종로구, 서울특별시, 03044, 대한민국",boundary,legal
적선동,서울특별시 종로구 사직동,37.5751085,126.9735739,"적선동, 사직동, 종로구, 서울특별시, 03170, 대한민국",place,quarter
통인동,서울특별시 종로구 청운효자동,37.5800949,126.970346,"통인동, 청운효자동, 종로구, 서울특별시, 03040, 대한민국",place,quarter
누상동,서울특별시 종로구 청운효자동,37.5804226,126.9630739,"누상동, 청운효자동, 종로구, 서울특별시, 03037, 대한민국",place,quarter
누하동,서울특별시 종로구 청운효자동,37.5789979,126.9675612,"누하동, 청운효자동, 종로구, 서울특별시, 03039, 대한민국",place,quarter
옥인동,서울특별시 종로구 청운효자동,37.58348,126.96385,"옥인동, 청운효자동, 종로구, 서울특별시, 03037, 대한민국",place,quarter
체부동,종로구 사직동 필운동,37.57796505,126.97090667722514,"체부동, 필운동, 사직동, 종로구, 서울특별시, 03040, 대한민국",boundary,legal
필운동,서울특별시 종로구 사직동,37.5773635,126.9690969,"필운동, 사직동, 종로구, 서울특별시, 03027, 대한민국",place,quarter
내자동,서울특별시 종로구 사직동,37.57522,126.97146,"내자동, 사직동, 종로구, 서울특별시, 03169, 대한민국",place,quarter
사직동,대한민국 서울특별시 종로구,37.5738317,126.97030410681307,"사직동, 종로구, 서울특별시, 대한민국",boundary,administrative
도렴동,서울특별시 종로구 사직동,37.5734581,126.9743691,"도렴동, 사직동, 종로구, 서울특별시, 03173, 대한민국",place,quarter
당주동,서울특별시 종로구 사직동,37.5716796,126.9739063,"당주동, 사직동, 종로구, 서울특별시, 03182, 대한민국",place,quarter
내수동,서울특별시 종로구 사직동,37.57294,126.9718,"내수동, 사직동, 종로구, 서울특별시, 03173, 대한민국",place,quarter
세종로,서울특별시 종로구 사직동,37.5757452,126.9766915,"세종로, 사직동, 종로구, 서울특별시, 03171, 대한민국",place,quarter
신문로1가,서울특별시 종로구 사직동,37.57017,126.97417,"신문로1가, 사직동, 종로구, 서울특별시, 03182, 대한민국",place,quarter
신문로2가,서울특별시 종로구 사직동,37.57073,126.96859,"신문로2가, 사직동, 종로구, 서울특별시, 03177, 대한민국",place,quarter
청진동,서울특별시 종로구 종로···가동,37.57125,126.9799,"청진동, 종로1·2·3·4가동, 종로구, 서울특별시, 03156, 대한민국",place,quarter
서린동,서울특별시 종로구 종로···가동,37.56925,126.97959,"서린동, 종로1·2·3·4가동, 종로구, 서울특별시, 03188, 대한민국",place,quarter
수송동,서울특별시 종로구 종로···가동,37.57371,126.98093,"수송동, 종로1·2·3·4가동, 종로구, 서울특별시, 03144, 대한민국",place,quarter
중학동,서울특별시 종로구 종로···가동,37.5750852,126.9794823,"중학동, 종로1·2·3·4가동, 종로구, 서울특별시, 03142, 대한민국",place,quarter
